Listagem de Operadores Radiofónicos e respetivos Serviços de Programas ativos a 01 de setembro de 2026,,,,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE REGISTO,DATA DE INSCRIÇÃO,DESIGNAÇÃO SOCIAL OPERADOR,MORADA OPERADOR,CÓDIGO POSTAL ,LOCALIDADE ,CONCELHO ,DISTRITO ,REGIÃO AUTÓNOMA PROP (DESIGNAÇÃO SOCIAL) (LIVROS DE REGISTOS),SERVIÇO DE PROGRAMAS DE RÁDIO,MORADA,CÓDIGO POSTAL,LOCALIDADE,CONCELHO,DISTRITO,REGIÃO AUTÓNOMA ESTUDIO,FREQUÊNCIA,CONTEÚDO (TIPO PROGRAMAÇÃO),ÁREA DE COBERTURA,DISTRITO DE LICENCIAMENTO,CONCELHO DE LICENCIAMENTO,RESPONSÁVEL PROGRAMAÇÃO,RESPONSÁVEL INFORMAÇÃO,NOME CANAL PROGRAMAS (PS),ENDEREÇO DE CORREIO ELETRÓNICO,DATA DE VALIDADE
423063,13-09-2001,"RSF - Radiodifusão, Lda.","Av. Visconde Barreiros, 89 - 5.º",4470-151,Maia,Maia,Porto,,Rádio Fronteira,Alto dos Ataques,6355-259,Vilar Formoso,Almeida,Guarda,,106.9,Generalista,Local,Guarda,Almeida,António Manuel Lourenço Reinas,António Manuel Lourenço Reinas,,geral@radiofronteira.com,13-06-2040
423064,13-09-2001,"Nodigráfica - Informação e Artes Gráficas, Lda","Av. do Convento, 1 - Complexo Conventurispress",3510-674,Viseu,Viseu,Viseu,,Cidade FM Viseu,"Av. do Convento, 1 - Complexo Conventurispress",3510-674,Viseu,Viseu,Viseu,,102.8,Temático - Musical,Local,Viseu,Viseu,Manuel Cabral,Teresa Mota,,publicidade@noticiasdeviseu.com,08-05-2039
423065,13-09-2001,"Rádio Voz da Ria - Emissora Concelhia de Estarreja, CRL","Pç Francisco Barbosa, 21-2.º",3860-356,Estarreja,Estarreja,Aveiro,,Rádio Voz da Ria,"Pç Francisco Barbosa, 21-2.º  - Apartado 69",3860-356,Estarreja,Estarreja,Aveiro,,90.2,Generalista,Local,Aveiro,Estarreja,Mário Rui da Silva Oliveira,Mário Rui da Silva Oliveira,Vozdaria,redaccao@rvria.pt,29-03-2039
423066,13-09-2001,"EJM - Empresa Jornalística da Madeira, Lda.","R. 31 de Janeiro, 73 e 74",9050-401,Funchal,Funchal,Ilha da Madeira,Região Autónoma da Madeira,JM - FM,"R. 31 de Janeiro, 73 e 74",9050-401,Funchal,Funchal,Ilha da Madeira,Região Autónoma da Madeira,88.8,Generalista,Local,Ilha da Madeira,Funchal,Miguel Amaro Melim Guarda,Miguel Amaro Melim Guarda,88.8FM,antonio.abreu@jm-madeira.pt,05-03-2039
423067,13-09-2001,"Granada FM - Rádio e Jornalismo, Unipessoal, Lda.","R. Estevão de Almeida, 4-2.º",7080-079,Vendas Novas,Vendas Novas,Évora,,Granada FM,"R. Estevão de Almeida, 4 - 2º",7080-079,Vendas Novas,Vendas Novas,Évora,,100.1,Generalista,Local,Évora,Vendas Novas,Carlos Manuel Rosado Branco,Fernando Jorge Travessa Chaveiro,RGRANADA,granadafm@sapo.pt,29-03-2039
423070,17-09-2001,"Rádio Alvor, CRL","Urb. Monte da Bemposta, lt. 1 cave A",8500-833,Portimão,Portimão,Faro,,Rádio Alvor,"Urb. Monte da Bemposta, lt. 01, cv A",8500-833,Portimão,Portimão,Faro,,90.1,Generalista,Local,Faro,Portimão,José Ricardo Cartaxo Coelho,José Ricardo Cartaxo Coelho,ALVOR FM,alvorfm@gmail.com,21-05-2039
423072,17-09-2001,"RD Rádio Despertar - Voz de Estremoz, CRL",R. Bento Jesus Caraça Bloco C - 1º,7100-104,Estremoz,Estremoz,Évora,,RD Rádio Despertar - Voz de Estremoz,"R. Bento Jesus Caraça, Bloco C - 1º",7100-452,Estremoz,Estremoz,Évora,,94.5,Generalista,Local,Évora,Estremoz,Sandra Maria Lopes Nunes,José Roberto Sardo Lameiras,,geral@radiodespertar.net,05-03-2039
423073,21-09-2001,"R.T.A. - Sociedade de Radiodifusão e Telecomunicações de Albufeira, Unipessoal, Lda.","R. do Pacífico, Lotes 25, 26 e 27",8200-166,Albufeira,Albufeira,Faro,,Kiss FM,"R. do Pacífico, Lts. 25, 26 e 27",8200-166,Albufeira,Albufeira,Faro,,95.8,Temático - Musical,Local,Faro,Albufeira,José Paulo do Carmo Peres,José Manuel Duarte de Matos,KISS FM,geral@recordfm.pt,11-06-2039
423073,21-09-2001,"R.T.A. - Sociedade de Radiodifusão e Telecomunicações de Albufeira, Unipessoal, Lda.","R. do Pacífico, Lotes 25, 26 e 27",8200-166,Albufeira,Albufeira,Faro,,Record Algarve,"R. Dr. Coutinho Pais, 25-A",2770-180,Terrugem,Oeiras,Lisboa,,91.8,Generalista,Local,Faro,Silves,José Paulo do Carmo Peres,José Manuel Duarte de Matos,RECORD A,geral@recordfm.pt,29-03-2039
423074,02-10-2001,"Rádio Pernes, Lda.","Praceta Pedro Escuro, 10 - 3º Dto.",2000-183,Santarém,Santarém,Santarém,,Record Santarém,"Urb. Quinta do Amparo, Lt.4, R/c Esq. - Quinta da Matinha",2415-583,Leiria,Leiria,Leiria,,101.7,Generalista,Local,Santarém,Santarém,José Paulo do Carmo Peres,José Manuel Duarte de Matos,RECORD S,geral@recordfm.pt,08-05-2039
423075,08-10-2001,"Rádio Mais, CRL","R. Adelino Amaro da Costa, 17 - C/V",2720-002,Amadora,Amadora,Lisboa,,Central FM,"R. Adelino Amaro da Costa, 17 - C/V - Quinta do Borel",2720-002,Amadora,Amadora,Lisboa,,93.7,Generalista,Local,Lisboa,Amadora,Cecília F. F. Freire,José Gonçalo Mendes da Rocha,CENTRAL,jorge.sousa.correia@hotmail.com,29-03-2039
423076,08-10-2001,"Coral - Cooperativa de Emissões Radiofónicas do Alto Ave, CRL","Av. Prof. Carlos Teixeira, 44 - 1.º",4850-524,Vieira do Minho,Vieira do Minho,Braga,,Rádio Alto Ave,"Av. Prof. Carlos Teixeira, 44 - 1.º",4850-524,Vieira do Minho,Vieira do Minho,Braga,,91.6,Generalista,Local,Braga,Vieira do Minho,José Luís da Silva Martins Machado,José Luís da Silva Martins Machado,ALTO AVE,geral@radioaltoave.pt,29-03-2039
423077,12-10-2001,"Rádio Jornal Caminhense, Lda.","R. da Corredoura, 117",4910-133,Caminha,Caminha,Viana do Castelo,,Rádio Jornal Caminhense,"R. da Corredoura, 117",4910-133,Caminha,Caminha,Viana do Castelo,,106.2,Generalista,Local,Viana do Castelo,Caminha,Rui Filipe de Matos Lopes,Elsa Maria Gomes Guerreiro Cepa,CAMINHA,geral@radiocaminha.pt,11-06-2039
423078,12-10-2001,Rádio Valdevez - Associação Cultural de Radiodifusão,Av. Dr. Mário Soares,4970-152,Arcos de Valdevez,Arcos de Valdevez,Viana do Castelo,,Rádio Valdevez,Av. Dr. Mário Soares,4970-152,Arcos de Valdevez,Arcos de Valdevez,Viana do Castelo,,96.4,Generalista,Local,Viana do Castelo,Arcos de Valdevez,Maria do Carmo Brito Dantas,Jorge Quintas,,zerocha6@gmail.com,21-05-2039
423079,19-10-2001,"Rádio Voz de Setúbal, Lda","Rua Nossa Senhora do Amparo, 15, 3º A",2900-144,Setúbal,Setúbal,Setúbal,,Rádio Amália de Setúbal,"R. do Viriato, 25, 3º Esq.",1050-234,Lisboa,Lisboa,Lisboa,,100.6,Temático - Musical,Local,Setúbal,Setúbal,António Vieira,Antonieta Lopes da Costa,AMALIA,marta.montez@gmail.com,08-05-2039
423080,19-10-2001,"Novos Mares - Radiodifusão, Lda.","R. Gil Eanes, 31",3830-670,Gafanha da Nazaré,Ílhavo,Aveiro,,Terra Nova,R. Padre Guerra,3830-711,Gafanha da Nazaré,Ílhavo,Aveiro,,105.0,Generalista,Local,Aveiro,Ílhavo,Vasco Lagarto,Carlos Manuel Teixeira,TERANOVA,terranova@terranova.pt,05-03-2039
423081,19-10-2001,"OCIM - Organização Cooperativa Informativa do Marco, C.R.L.","R.Visconde do Marco, 217 - Apartado 26",4630-273,Marco de Canaveses,Marco de Canaveses,Porto,,Rádio Marcoense,"R. Visconde do Marco, 217 - Apartado 26",4630-273,Marco de Canaveses,Marco de Canaveses,Porto,,93.3,Generalista,Local,Porto,Marco de Canaveses,Raul Filipe Espincho Teixeira,Maria José de Sousa Ferreira da Silva,Marco FM,geral@marcoensefm.com,29-03-2039
423082,19-10-2001,"Rádio Jornal de Setúbal - Sociedade de Comunicação, Lda.","Av. António Rodrigues Manito, n.º 58 R/c A",2900-528,Setúbal,Setúbal,Setúbal,,Rádio Jornal de Setúbal,"Av. Dr. António Rodrigues Manito, 58, R/c A",2900-528,Setúbal,Setúbal,Setúbal,,88.6,Generalista,Local,Setúbal,Setúbal,Luís Gabriel Santos,Ana Paula Antunes,RJS,gabinete.advogados326@gmail.com,08-05-2039
423083,19-10-2001,"Centro de Formação, Assistência e Desenvolvimento","R. Soeiro Viegas, 2-B",6300-758,Guarda,Guarda,Guarda,,Rádio Alive FM,"R. Dr. Hilário de Almeida Pereira, 220 - 1º Dto.",3560-172,Sátão,Sátão,Viseu,,89.9,Generalista,Local,Viseu,Sátão,Sandrina de Jesus Alves,Pedro Norberto Monteiro Paula,ALIVE FM,cfad.geral@cfad.pt,29-03-2039
423085,19-10-2001,"Rádio Clube de Sintra, Lda.","R. Dr. Félix Alves Pereira, 12-B",2710-716,Sintra,Sintra,Lisboa,,Rádio Clube de Sintra,"Rua da Serra, nº 1 Sabugo",2715-398,Almargem do Bispo,Sintra,Lisboa,,91.2,Generalista,Local,Lisboa,Sintra,Pedro Miguel de Veiga Varandas Esteves,Ezequiel Brasilino Almeida Duarte,RCS,administracao@radiorcs.pt,29-03-2039
423086,22-10-2001,Fundação Frei Pedro,"R. Soeiro Viegas, 2-B",6300-758,Guarda,Guarda,Guarda,,Rádio F,"R. Soeiro Viegas, 2-B",6300-758,Guarda,Guarda,Guarda,,105.8,Generalista,Local,Guarda,Guarda,Pedro Norberto Monteiro Paula,Pedro Norberto Monteiro Paula,Rádio F,info@gmpress.pt,22-12-2039
423087,23-10-2001,"Antena Livre de Gouveia - Cooperativa de Radiodifusão, CRL",Av. dos Bombeiros Voluntários,6290-520,Gouveia,Gouveia,Guarda,,Rádio Antena Livre de Gouveia,"Escola Apostólica de Cristo Rei - Seminário, R. do Seminário",6290-658,Gouveia,Gouveia,Guarda,,89.6,Generalista,Local,Guarda,Gouveia,António Filipe dos Santos Borges,Salomé Silva,R._LIVRE,antenalivredegouveia@sapo.pt,11-06-2039
423088,05-11-2001,"Iris - Serviço de Informação Regional Independente, Lda.","R. dos Operários Agrícolas, 5 B",2135-322,Samora Correia,Benavente,Santarém,,Iris FM,"R. dos Operários Agrícolas, 5 B",2135-322,Samora Correia,Benavente,Santarém,,91.4,Generalista,Local,Santarém,Benavente,Luís Miguel Bernardo,Maria da Graça Ferreira da Silva,IRIS FM,director@irisfm.pt,11-06-2039
423090,05-11-2001,"Rádio Província, Lda.","R. do Cabecinho, 45",3780-203,Anadia,Anadia,Aveiro,,Rádio Província,"R. do Cabecinho, 45",3780-203,Anadia,Anadia,Aveiro,,100.8,Generalista,Local,Aveiro,Anadia,António Augusto de Oliveira Rodrigues,Eduardo Pina,PROVNCIA,radio@radioprovincia.pt,05-03-2039
423091,05-11-2001,"PFM - Radiodifusão, Lda","Rua Álvaro Ferreira Alves, nº 28",2855-591,Santa Marta do Pinhal,Seixal,Setúbal,,RDS 92.2,"Av. 1º de Maio 35, 3B",2845-583,Amora,Seixal,Setúbal,,92.2,Generalista,Local,Lisboa,Azambuja,Ricardo Fernando Loureiro Pereira,Pedro Carvalho,RDS 92.2,rpnanet@gmail.com,21-05-2039
423092,05-11-2001,"Rádio Alto Minho - Sociedade de Informação Regional, Ldª","R. José Espregueira, 23 R/C",4900-459,Viana do Castelo,Viana do Castelo,Viana do Castelo,,Rádio Alto Minho,"R. José Espregueira, 23 R/C",4900-459,Viana do Castelo,Viana do Castelo,Viana do Castelo,,97.0,Generalista,Local,Viana do Castelo,Viana do Castelo,Celso Carvalhosa,Fernando Pacheco Serrão,ALTMINHO,geral@radioaltominho.pt,08-05-2039
423093,05-11-2001,"Sintonizenos - Comunicação Social, Lda.","Av. Visconde de Barreiros, 89- 5º",4470-151,Maia,Maia,Porto,,Metropolitana FM 89.0,"Av. Visconde de Barreiros, 89 - 5º",4470-151,Maia,Maia,Porto,,89.0,Temático - Musical,Local,Porto,Póvoa de Varzim,Angélica Maria Corgo dos Santos da Nova,Angélica Maria Corgo dos Santos da Nova,RADIOMFM,administrativos@canal5.pt,08-05-2039
423094,05-11-2001,"Radio Clube de Alvaiázere, Lda","R. Dr. Manuel Ribeiro Ferreira, 6 - Ap. 17",3250-113,Alvaiázere,Alvaiázere,Leiria,,ABC Portugal,"Estádio Municipal de Alvaiázere, Rua da Saudade",3250-107,Alvaiázere,Alvaiázere,Leiria,,92.3,Generalista,Local,Leiria,Alvaiázere,Paula Cristina Marques da Silva Rodrigues de Melo,Paula Cristina Marques da Silva Rodrigues de Melo,,geral@abcportugal.pt,22-12-2039
423096,09-11-2001,"Piçarra & CA, Lda.","Tv. de Santo André, 6 e 8, R/c",7000-567,Évora,Évora,Évora,,Rádio Telefonia do Alentejo,"Est. de Arraiolos, Edificio Piçarra Cª",7000-567,Évora,Évora,Évora,,103.2,Generalista,Local,Évora,Évora,Manuel Francisco dos Santos Aranha,Marina Alexandra Piteira Marques Pardal,RTA,administracao@diariodosul.com.pt,08-05-2039
423097,14-11-2001,"SIT - Sociedade de Informação de Trás-os-Montes, Lda.","Av. dos Bombeiros Voluntários, 47 - S/L",5370-206,Mirandela,Mirandela,Bragança,,Rádio Terra Quente,"Av. dos Bombeiros Voluntários, 47 - S/L",5370-206,Mirandela,Mirandela,Bragança,,105.2,Generalista,Local,Bragança,Mirandela,Fernando Sérgio Esteves da Silva,Fernando Jorge Pires,T.Quente,radio@terraquentefm.net,22-12-2039
423098,14-11-2001,"Cooperativa Rádio Boa Nova de Oliveira do Hospital, C.R.L.",Av. Calouste Gulbenkian,3400-060,Oliveira do Hospital,Oliveira do Hospital,Coimbra,,Rádio Boa Nova,Av. Calouste Gulbenkian,3400-060,Oliveira do Hospital,Oliveira do Hospital,Coimbra,,100.2,Generalista,Local,Coimbra,Oliveira do Hospital,Albino José Neves Rodrigues,Liliana Ferreira Lopes Varão,,radioboanova1002@gmail.com,29-03-2039
423099,09-11-2001,"RA - Produções Radiofónicas, Lda.","Av. Dr. António Rodrigues Manito, 58 - r/c B",2900-061,Setúbal,Setúbal,Setúbal,,Rádio Azul,"R. Dr. António Rodrigues Manito, 58 - r/c B",2900-528,Setúbal,Setúbal,Setúbal,,98.9,Generalista,Local,Setúbal,Setúbal,Alberto Bulguim Antunes,Alberto Bulguim Antunes,RDS - Az,radioazul98.9@gmail.com,08-05-2039
423100,19-11-2001,"Rádio Regional de Arouca, Lda.",R. António Almeida Brandão,4540-119,Arouca,Arouca,Aveiro,,Rádio Regional de Arouca,R. António Almeida Brandão,4540-119,Arouca,Arouca,Aveiro,,103.2,Generalista,Local,Aveiro,Arouca,Adelino Pinho,Victor Mendes,R-AROUCA,geral@radioregionaldearouca.com,22-12-2039
423101,19-11-2001,"Rádio Nova Era - Sociedade de Comunicação, SA","R. das Camélias, 134-B",4430-038,Vila Nova de Gaia,Vila Nova de Gaia,Porto,,Rádio Nova Era (Paredes),"R. das Camélias, 134-B",4430-038,Vila Nova de Gaia,Vila Nova de Gaia,Porto,,100.1,Temático - Musical,Local,Porto,Paredes,Sílvia Braga,Luís Miguel Gonçalves Rodrigues,NOVA ERA,geral@radionovaera.pt,08-05-2039
423101,19-11-2001,"Rádio Nova Era - Sociedade de Comunicação, SA","R. das Camélias, 134-B",4430-038,Vila Nova de Gaia,Vila Nova de Gaia,Porto,,Rádio Nova Era (Vila Nova de Gaia),"R. das Camélias, 134-B",4430-038,Vila Nova de Gaia,Vila Nova de Gaia,Porto,,101.3,Temático - Musical,Local,Porto,Vila Nova de Gaia,Sílvia Braga,Luís Miguel Gonçalves Rodrigues,NOVA ERA,geral@radionovaera.pt,29-03-2039
423102,21-11-2001,"Rádio Clube de Penafiel Cooperativa Radiofónica, CRL","R. Alfredo Pereira, 14 - 2º - Apartado 14",4560-502,Penafiel,Penafiel,Porto,,Rádio Clube de Penafiel,"R. Alfredo Pereira, 14 - 2.º",4560-502,Penafiel,Penafiel,Porto,,91.8,Generalista,Local,Porto,Penafiel,José António da Silva Ferreira,Anabela Jesus Machado Vieira,RCP,info.mail@radioclube-penafiel.pt,29-03-2039
423103,21-11-2001,"Rádio Nova Contrasta -  Comunicação, Lda","Empreendimento Cidade Nova, Lote 7 - Cave C",4930-713,Valença,Valença,Viana do Castelo,,Rádio Vale do Minho,"Quinta da Oliveira, Ent.2 - R/C Dto",4950-425,Mazedo,Monção,Viana do Castelo,,91.7,Generalista,Local,Viana do Castelo,Valença,Miguel António Gomes Guerreiro Cepa,Miguel P. Braga Teixeira da Rocha,Contrast,cepamiguel@gmail.com,11-06-2039
423104,21-11-2001,"Rádio Felgueiras - Cooperativa de Meios Audiovisuais de Comunicação Social, CRL","R. Dr. Basílio R.Leite de Vasconcelos, Lote 76 - Fracção B- R/C",4610-170,Felgueiras,Felgueiras,Porto,,Rádio Felgueiras,"R. Dr. Basílio R.Leite Vasconcelos, Urb. do Outeiro",4610-170,Felgueiras,Felgueiras,Porto,,92.2,Generalista,Local,Porto,Felgueiras,Maria Luisa Monteiro Faria,Jorge Dias da Cunha,,radiofelgueiras922@gmail.com,05-03-2039
423105,21-05-2003,"Sociedade Franco Portuguesa de Comunicação, SA","Rua Luciana Stegagno Picchio, 3",1549-023,Lisboa,Lisboa,Lisboa,,CM Rádio 90.4,"R. Luciana Stegagno Picchio, n.º 3",1549-023,Lisboa,Lisboa,Lisboa,,90.4,Temático - Informativo,Local,Lisboa,Lisboa,Carlos Filipe Espinho Rodrigues,Carlos Filipe Espinho Rodrigues,CM RADIO,plataforma@medialivre.pt,05-03-2039
423108,07-12-2001,"Radiotorres, Lda",Edifício Santa Isabel,2350-686,Torres Novas,Torres Novas,Santarém,,Torres Novas FM,Traseiras da R. Luís de Camões,2350-409,Torres Novas,Torres Novas,Santarém,,100.8,Generalista,Local,Santarém,Torres Novas,Jorge Manuel Monteiro Paulino Branco,João da Guia,,geral@torresnovasfm.com,29-03-2039
423110,12-12-2001,Associação Cultural e Recreativa Rádio Condestável,"Av. Dr. Abilio Marçal, nº8",6100-267,Cernache do Bonjardim,Sertã,Castelo Branco,,Rádio Condestável,"Av. Dr. Abilio Marçal, nº8",6100-267,Cernache do Bonjardim,Sertã,Castelo Branco,,91.3,Generalista,Local,Castelo Branco,Sertã,Luis Manuel Corrêa Biscaia,Maria Dulce Martins Cardoso,CONDSTVL,direcao@radiocondestavel.pt,21-05-2039
423111,17-12-2001,Associação Humanitária de Bombeiros Voluntários de Sines,"Av. General Humberto Delgado, 1",7520-106,Sines,Sines,Setúbal,,Rádio Sines,"Av. General Humberto Delgado, 1",7520-106,Sines,Sines,Setúbal,,95.9,Generalista,Local,Setúbal,Sines,Filipe Alexandre Anacleto Raposo,Joaquim Vitor Palminha Bernardo,R-SINES,geral@radiosines.com,11-06-2039
423112,18-12-2001,"Som do Pinhal II - Multimédia, Lda.","Urbaniz. Quinta do Pinheiro, Rua Salgueiro Maia, Lote 29, r/c Esqº.",2955-028,Pinhal Novo,Palmela,Setúbal,,Popular FM,"Urbaniz. Quinta do Pinheiro, Rua Salgueiro Maia, Lote 29, r/c Esqº.",2955-028,Pinhal Novo,Palmela,Setúbal,,90.9,Generalista,Local,Setúbal,Montijo,Susana Roldão,Mário Rui Sobral,POPULAR,geral@popularfm.com,21-05-2039
423113,21-12-2001,"Rádio Vida Nova, CRL","R. da Casa Paroquial, 122",3240-690,Santiago da Guarda,Ansião,Leiria,,Rádio Vida Nova,"R. da Casa Paroquial, 122",3240-690,Santiago da Guarda,Ansião,Leiria,,105.5,Generalista,Local,Leiria,Ansião,Artur Ramalho,Marta Alexandra Carvalho Santos,VIDA NOV,vidanovaansiao@gmail.com,11-06-2039
423116,16-01-2002,"Lagoanima - Empresa Radiofónica e de Comunicação da Lagoa, Lda.","Bairro Municipal dos Vales, Bloco B - Esq. Cave",8400-430,Lagoa,Lagoa (Algarve),Faro,,Rádio Lagoa,"Bairro Municipal dos Vales, Bloco B - Esq. Cave",8400-430,Lagoa,Lagoa (Algarve),Faro,,99.4,Generalista,Local,Faro,Lagoa (Algarve),António João Rosado Galhardas,Jorge Eusébio,LAGOAFM,geral@radiolagoa.pt,05-03-2039
423117,01-02-2002,"Cooperativa Rádio Emissora Santo António de Vagos, C.R.L.",Corgo de Seixo de Baixo,3840-502,Corgo do Seixo de Baixo,Vagos,Aveiro,,Rádio Voz de Vagos,"R. Padre Creolo, Corgo de Seixo de Baixo",3840-502,Corgo do Seixo de Baixo,Vagos,Aveiro,,88.8,Generalista,Local,Aveiro,Vagos,Manuel da Rocha Pereira,Sara Raquel Sampaio Alves,,radiovagosfm@gmail.com,11-06-2039
423118,06-02-2002,"Rádio Universidade do Marão - Cooperativa de Radiodifusão, CRL","R. Actor Ruy de Carvalho, Bloco A, R/C",5000-542,Vila Real,Vila Real,Vila Real,,Universidade FM,"R. Actor Ruy de Carvalho, Bloco A - R/C",5000-542,Vila Real,Vila Real,Vila Real,,104.3,Generalista,Local,Vila Real,Vila Real,Maria de Lurdes Cardoso,Mila Brigas ,UFM,geral@universidade.fm,11-06-2039
423119,15-02-2002,"A Voz do Sorraia - Emissor Regional do Concelho de Coruche, CRL","R. do Couço, 29 - R/c Fte.",2100-169,Coruche,Coruche,Santarém,,Rádio Voz do Sorraia,"Rua dos Bombeiros Municipais, Antigo Edifício EB1 - Bairro Novo",2100-011,Coruche,Coruche,Santarém,,94.7,Generalista,Local,Santarém,Coruche,Carlos Manuel Alves Anacleto,Flávio Miguel Silva,,radiovozsorraia@sapo.pt,05-03-2039
423120,18-02-2002,"Rádio Clube de Gaia - Serviço Local de Radiodifusão Sonora, SA","R. Raimundo de Carvalho, 242 - r/c Escr. 1",4430-185,Vila Nova de Gaia,Vila Nova de Gaia,Porto,,Record Porto,"R. Raimundo de Carvalho, 242 - R/C Escritório 1",4430-185,Vila Nova de Gaia,Vila Nova de Gaia,Porto,,95.5,Generalista,Local,Porto,Vila Nova de Gaia,José Paulo do Carmo Peres,José Manuel Duarte de Matos,RECORD P,geral@recordfm.pt,29-03-2039
423121,21-02-2002,"Sobral FM - Sociedade de Comunicação, Unipessoal, Lda.","R.da Vitória, 10",2590-047,Sobral de Monte Agraço,Sobral de Monte Agraço,Lisboa,,CAPSAO,"R. da Vitória, 10",2590-047,Sobral de Monte Agraço,Sobral de Monte Agraço,Lisboa,,106.4,Temático - Musical,Local,Lisboa,Sobral de Monte Agraço,Alfredo Manuel Cardoso da Silva,--,CAPSAO,alfredo.dasilva@capsao.com,29-03-2039
423122,22-02-2002,"Rádio Objectiva, Lda.","R. da Banja, 13",4585-116,Gandra,Paredes,Porto,,Jornal FM,"R. da Silvosa, 16, 5.º, Atelier 2",4585-215,Gandra,Paredes,Porto,,103.6,Generalista,Local,Porto,Paredes,Célia Maria Ferreira da Silva,Elisabete Leal,JORNALFM,geral@radiojornalfm.pt,08-05-2039
423124,14-05-2002,"Rádio Pal, Lda.","Estrada da Portela, 73 -1º Escr. 9/10",2790-124,Carnaxide,Oeiras,Lisboa,,Rádio Maria,"Estrada da Portela, 73 -1º Escr. 9/10",2790-124,Carnaxide,Oeiras,Lisboa,,102.2,Generalista,Local,Setúbal,Palmela,Marco Fernando da Silva Luis,Cláudia Margarida Assunção Leite Santos Mirra,SIM PAL,joao.castro@radiomaria.pt,21-05-2039
423126,07-06-2002,"Rádio Santiago - Cooperativa de Comunicação e Cultura de Sesimbra, CRL","Empreendimento Pôr do Sol, R. Varandas para o Mar - Lote 5, Fracção A",2970-707,Sesimbra,Sesimbra,Setúbal,,Sesimbra FM,"Empreendimento Pôr do Sol, R. Varandas para o Mar - Lote 5, Fracção A",2970-707,Sesimbra,Sesimbra,Setúbal,,103.9,Generalista,Local,Setúbal,Sesimbra,Eduardo Paulo Sousa da Cunha Cruz,Vanessa Pinto Pereira,SESIMBRA,sesimbrafm@gmail.com,21-05-2039
423129,21-08-2002,"Radibeli - Produções Radiofónicas, Lda.","R. 25 de Abril, Edif. Casa do Povo (Ap. 1)",3140-022,Arazede,Montemor-o-Velho,Coimbra,,Rádio Beira Litoral,"R. 25 de Abril, Edif. Casa do Povo",3140-022,Arazede,Montemor-o-Velho,Coimbra,,101.7,Generalista,Local,Coimbra,Montemor-o-Velho,Fernando Manuel Brito Moura da Silva,Pedro Carvalho,,radio.beiralitoral@gmail.com,21-05-2039
423130,22-08-2002,"Radialtitude - Sociedade de Comunicação da Guarda, Lda.",R. Batalha Reis - Edifício Rádio Altitude - Parque da Saúde,6300-668,Guarda,Guarda,Guarda,,Rádio Altitude,"R. Batalha Reis, S/N",6300-668,Guarda,Guarda,Guarda,,90.9,Generalista,Local,Guarda,Guarda,Luís Baptista-Martins,Luís Baptista-Martins,ALTITUDE,luisbaptistamartins@altitude.fm,21-05-2039
423131,28-08-2002,"Rádio Campanário - Voz de Vila Viçosa, CRL",Largo D. João IV,7160-254,Vila Viçosa,Vila Viçosa,Évora,,Rádio Campanário,Largo D. João IV,7160-254,Vila Viçosa,Vila Viçosa,Évora,,90.6,Generalista,Local,Évora,Vila Viçosa,Ana Cristina Rocha,Ana Cristina Rocha,CAMPANAR,geral@radiocampanario.com,29-03-2039
423134,18-09-2002,"Marginaudio - Actividades Radiofónicas, Lda.","R. do Viriato, 25 - 6º",1050-234,Lisboa,Lisboa,Lisboa,,Rádio Marginal,"R. do Viriato, 25 - 6º",1050-234,Lisboa,Lisboa,Lisboa,,98.1,Temático - Musical,Local,Lisboa,Cascais,Paulo Jorge Rolo,Antonieta Lopes da Costa,MARGINAL,marta.montez@gmail.com,29-03-2039
423135,18-09-2002,"Associação de Promoção Social, Cultural e Desportiva de Fornos de Algodres",Av. 25 de Abril,6370-174,Fornos de Algodres,Fornos de Algodres,Guarda,,Rádio Imagem,"Largo da Feira Nova, 15, 1º Esq.",3660-437,São Pedro do Sul,São Pedro do Sul,Viseu,,87.6,Generalista,Local,Guarda,Fornos de Algodres,Paulo Martins,Paulo Martins,,geralradioimagem@gmail.com,22-12-2039
423136,18-09-2002,Círculo de Cultura Famalicense,"R. 5 de Outubro, Ed. Vilarminda, Lj. 204",4760-289,Vila Nova de Famalicão,Vila Nova de Famalicão,Braga,,Rádio Cidade Hoje,"R. 5 de Outubro, Ed. Vilarminda 204 - Apartado 218",4760-289,Vila Nova de Famalicão,Vila Nova de Famalicão,Braga,,94.0,Generalista,Local,Braga,Vila Nova de Famalicão,Rafael Fernandes Vieira,Rui Manuel da Silva Lima,CID.HOJE,geral@cidadehoje.pt,08-05-2039
423137,24-09-2002,"Rádio Paços - Comunicação Regional, Lda.","R. Dr. Queirós Ribeiro, 137 - 3º",4590-590,Paços de Ferreira,Paços de Ferreira,Porto,,Rádio Clube Paços Ferreira,"R. Dr. Queirós Ribeiro, 137 - 3º",4590-590,Paços de Ferreira,Paços de Ferreira,Porto,,101.8,Generalista,Local,Porto,Paços de Ferreira,Filipe Juventino Veloso Bessa,José Firmino Machado Corte Real Meireles,R.C.P.F.,geral@radiopacos.pt,29-03-2039
