Listagem de Publicações Periódicas ativas à data de 01 de setembro de 2026,,,,,,,,,,,,,,,,,,,,,,
NÚMERO DE REGISTO,DATA DE INSCRIÇÃO,DENOMINAÇÃO,SUPORTE,ÂMBITO,CONTEÚDO,PERIODICIDADE,SITUAÇÃO PP,MORADA SEDE REDAÇÃO,CÓDIGO POSTAL SEDE REDAÇÃO,LOCALIDADE SEDE REDAÇÃO,CONCELHO SEDE REDAÇÃO,DISTRITO SEDE REDAÇÃO,EDITOR,DIRETOR,DIRETOR ADJUNTO,SUBDIRETOR,NOME / DESIGNAÇÃO SOCIAL - PROPRIETÁRIO,CONCELHO,DISTRITO,REGIÃO AUTÓNOMA PROP,ENDEREÇO DE CORREIO ELETRÓNICO,WEBSITE
114179,31-10-1989,Forum Estudante,Papel/Online,Nacional,Informação Especializada,9 x ano,Registo Definitivo,"Tv. das Pedras Negras, 1 - 4º",1100-404,Lisboa,Lisboa,Lisboa,"Press Forum - Comunicação Social, Lda.",Gonçalo Nuno Cavaca Gil,,,"Press-Forum - Comunicação Social, Lda.",Lisboa,Lisboa,,geral@forum.pt,www.forum.pt/
114185,02-11-1989,O Correio da Linha,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"R. Prof. Mota Pinto, Lj. 4",2780-275,Oeiras,Oeiras,Lisboa,"Vaga Litoral - Publicações e Edições, Lda.",Paulo Jorge Rodrigues Pimenta,,,"Vaga Litoral - Publicações e Edições, Lda.",Oeiras,Lisboa,,geral@ocorreiodalinha.pt,www.ocorreiodalinha.pt
114276,02-01-1990,Jesus Vivo,Papel,Nacional,Doutrinária,Trimestral,Registo Definitivo,"Av. de Castro, 122, Casa de Ourique",4770-708,Telhado,Vila Nova de Famalicão,Braga,Comunidade Cristo de Betânia,Mª Hercilia S. Pinto Pereira,,,Comunidade Cristo de Betânia,Vila Nova de Famalicão,Braga,,jesusvivo@cristobetanea.net,www.cristobetania.net
114309,17-01-1990,Revista de Vinhos - A Essência do Vinho,Papel,Nacional,Informação Especializada,Mensal,Registo Definitivo,"Av. Dr. Antunes Guimarães, 788",4000-122,Porto,Porto,Porto,"Essência Eventos e Comunicação Unipessoal, Lda.",Nuno Filipe Guedes Vaz de Figueiredo e Pires,,,"Essência Eventos e Comunicação Unipessoal, Lda.",Porto,Porto,,josepinto@essenciadovinho.com,
114345,05-02-1990,Boletim Informativo da Sociedade Histórica da Independência de Portugal,Online,Nacional,Informação Especializada,Trimestral,Registo Definitivo,"Largo de S. Domingos, 11 - Palácio da Independência",1150-320,Lisboa,Lisboa,Lisboa,Ana Maria Proserpio,José Ribeiro e Castro,,,Sociedade Histórica da Independência de Portugal,Lisboa,Lisboa,,actividadesculturais@sociedadehistorica.pt,https://sociedadehistorica.pt/sociedade-historica/boletim-informativo/
114410,07-03-1990,Público,Papel/Online,Nacional,Informação Geral,Diária,Registo Definitivo,Edificio Diogo Cão - Doca de Alcântara Norte,1350-352,Lisboa,Lisboa,Lisboa,"Público - Comunicação Social, S.A.",David Manuel Guedes Laranja Pontes,"Marta Moitinho Oliveira, Pedro Candeias, Sónia Sapage, Tiago Luz Pedro",,"Público - Comunicação Social, SA",Maia,Porto,,publico@publico.pt,www.publico.pt
114484,30-03-1990,Tempo Livre,Papel/Online,Nacional,Informação Especializada,Bimestral,Registo Definitivo,"Calçada de Sant´Ana, 180",1169-062,Lisboa,Lisboa,Lisboa,Fundação INATEL,Francisco Madelino,,,Fundação Inatel,Lisboa,Lisboa,,tl@inatel.pt,
114498,05-04-1990,SF Felgueiras Jornal,Papel,Regional,Informação Geral,Quinzenal,Registo Definitivo,R. Rebelo de Carvalho,4610-210,Felgueiras,Felgueiras,Porto,"Semanário de Felgueiras - Sociedade Gráfica, Ldª",Susana Emanuel Loureiro Faria,,,"Semanário de Felgueiras - Sociedade Gráfica, Lda.",Felgueiras,Porto,,semanariofelgueiras@semanariofelgueiras.pt,www.semanariofelgueiras.pt
114576,08-05-1990,Noticias da  Caranguejeira,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"Centro Pastoral Paroquial, Largo Pe António Ferreira Júnior",2420-104,Caranguejeira,Leiria,Leiria,António José Botas Cardoso,António José Botas Cardoso,Orlando Miguel Rodrigues Marques,,Fábrica da Igreja Paroquial de Caranguejeira,Leiria,Leiria,,noticias.caranguejeira@gmail.com,
114680,08-06-1990,Jornal da Batalha,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"Largo Goa Damão e Diu, nº12, Loja 26",2440-101,Batalha,Batalha,Leiria,"Bom Senso - Edições e Aconselhamento de Mercado, Lda.",Miguel Chagas,,,"Bom Senso - Edições e Aconselhamento de Mercado, Lda.",Batalha,Leiria,,teresa.santos@jornaldabatalha.pt,www.jornaldabatalha.pt
114686,04-06-1990,Repórter de Gondomar,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"Rua do Monte Crasto, 51, Loja V1",4420-210,Gondomar,Gondomar,Porto,"Letras Valiosas, Lda.",Rui Vieira Gomes,,,"Letras Valiosas, Lda",Gondomar,Porto,,reportergondomar@sapo.pt,
114713,12-06-1990,Ambitur,Papel/Online,Nacional,Informação Especializada,Trimestral,Registo Definitivo,"Av. Infante Santo, 69, 4º C",1350-177,Lisboa,Lisboa,Lisboa,Pedro António Elias Chenrim,Pedro António Elias Chenrim,,,Teresa de Jesus Fernandes Elias,Lisboa,Lisboa,,teresa.ambitur@gmail.com,www.ambitur.pt
114716,12-06-1990,Ecos de Basto,Papel/Online,Regional,Informação Geral,Trissemanal,Registo Definitivo,R. Antunes Basto (Apartado 17),4860-363,Refojos de Basto,Cabeceiras de Basto,Braga,Mafalda Alves,José Gonçalves Lopes,,,Associação Dinamizadora dos Interesses de Basto - ADIB,Cabeceiras de Basto,Braga,,adib.ecos@sapo.pt,www.ecosdebasto.com
114779,12-07-1990,Negócios de Valpaços,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"Av. D. Maria do Carmo Carmona, 125",5430-469,Valpaços,Valpaços,Vila Real,Nicolle Luiza Martinez Moreira,Miguel Cássio Ferreira Lavrador,,Cristiano Miguel e Santos,Manuel António Pires Brás,Valpaços,Vila Real,,negocios_valpacos@sapo.pt,
114885,12-09-1990,Activa,Papel/Online,Nacional,Informação Especializada,Mensal,Registo Definitivo,"Avenida Jacques Delors, Edifício Inovação 3.1 Espaço nº 511/512",2740-122,Porto Salvo,Oeiras,Lisboa,"Trust In News, Unipessoal, Lda.",Mariana de Sotto Mayor Correia de Barros Anahory,,,"Trust In News, Unipessoal, Lda.",Oeiras,Lisboa,,cscampos@trustinnews.pt,www.activadigital.activa.pt
114969,05-11-1990,Farol de Esposende,Papel,Regional,Informação Geral,Bimensal,Registo Definitivo,Av. Engº Eduardo Arantes Oliveira -  Estação de Socorros a Náufragos,4740-204,Esposende,Esposende,Braga,Forum Esposendense - Associação Cívica para o desenvolvimento e Progresso do Concelho de Esposende,António Nogueira Afonso Pereira,,,Forum Esposendense - Associação Cívica para o Desenvolvimento e Progresso do Concelho de Esposende,Esposende,Braga,,jornalfarolesposende@forum-esposendense.pt,
114987,08-11-1990,Hipersuper,Papel/Online,Nacional,Informação Especializada,Mensal,Registo Definitivo,"Av. Alvares Cabral nº61, 6º andar",1250-017,Lisboa,Lisboa,Lisboa,"WorkMedia - Comunicação, SA",Ana Rita de Brito Carreira de Almeida,,,"Work Media - Comunicação, SA",Lisboa,Lisboa,,hcfino@workmedia.pt,www.hipersuper.pt
115030,22-11-1990,Ovelha,Papel/Online,Regional,Informação Especializada,Quadrimestral,Registo Definitivo,"R. Cidade de S. Paulo, 36 - Armazém das Lãs",7800-453,Beja,Beja,Beja,ACOS - Associação de Agricultores do Sul,Claudino António Pereira de Matos,Joana Gomes,,ACOS - Associação de Agricultores do Sul,Beja,Beja,,geral@acos.pt,www.acos.pt
115120,10-01-1991,Abarca,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"EN 118, Edif. Sindicato (Apartado 22)",2205-645,Tramagal,Abrantes,Santarém,"Página Seguinte - Edições, Lda",Maria Margarida dos Reis Vieira Trincão,,,"Página Seguinte - Edições, Lda",Abrantes,Santarém,,abarca@abarca.com.pt,www.abarca.com.pt
115126,15-01-1991,Enfermagem em Foco,Papel,Nacional,Informação Especializada,Semestral,Registo Definitivo,"Av. 24 de Julho, 132",1350-346,Lisboa,Lisboa,Lisboa,Sindicato dos Enfermeiros Portugueses,José Carlos Correia Martins,,,Sindicato dos Enfermeiros Portugueses,Lisboa,Lisboa,,sede@sep.pt,www.sep.org.pt
115138,28-01-1991,Ecos da Marofa,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"Av. Heróis de Castelo Rodrigo, 35 - 1.º (Apartado 30)",6440-113,Figueira Castelo Rodrigo,Figueira de Castelo Rodrigo,Guarda,"Jocol - Sociedade Jornalística de Riba Côa, Lda.",Eurico Ferreira de Carvalho,Raúl Soares Martins,,"Jocol - Sociedade Jornalística de Ribacôa, Lda.",Figueira de Castelo Rodrigo,Guarda,,ecos.marofa@gmail.com,
115254,05-03-1991,Viver a Nossa Terra,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"Av. 3 de Julho, 92 (Apartado 7039)",4760-713,Ribeirão,Vila Nova de Famalicão,Braga,Clube de Cultura e Desporto de Ribeirão,Adelino Henrique Campos da Silva,,,Clube de Cultura e Desporto de Ribeirão,Vila Nova de Famalicão,Braga,,geral@ccdr.pt,www.ccdr.pt
115360,08-04-1991,Revista Portuguesa de Ciência Criminal,Papel,Nacional,Informação Especializada,Quadrimestral,Registo Definitivo,IDPEE-Faculdade de Direito da Universidade de Coimbra - Pátio da Universidade,3004-528,Coimbra,Coimbra,Coimbra,"Gestlegal - Consultoria e Serviços, Lda.",Jorge de Figueiredo Dias,,,Instituto de Direito Penal Economico e Europeu,Coimbra,Coimbra,,idpee@fd.uc.pt,
115370,08-04-1991,Espaço Rural,Papel,Nacional,Informação Especializada,Bimestral,Registo Definitivo,Palácio Benagazil - R. Projetada à Rua C - Aeroporto Humberto Delgado,1700-008,Lisboa,Lisboa,Lisboa,"CONFAGRI - Confederação Nacional das Cooperativas Agrícolas e do Crédito Agrícola de Portugal, CCRL",Nuno Rafael Marona de Carvalho Serra,,,"CONFAGRI - Confederação Nacional das Cooperativas Agrícolas e do Crédito Agrícola de Portugal, CCRL",Lisboa,Lisboa,,espaco.rural@confagri.pt,www.confagri.pt
115658,26-07-1991,Notícias de Castro Daire,Papel,Regional,Informação Geral,Quinzenal,Registo Definitivo,"Av. General Humberto Delgado, 18",3600-187,Castro Daire,Castro Daire,Viseu,"Infordaire - Edições Gráficas, Lda",Marco António Moreira Lacerda e Oliveira,,,"Infordaire - Edições Gráficas, Lda.",Castro Daire,Viseu,,ncd@sapo.pt,
115673,30-07-1991,Opinião Pública,Online,Regional,Informação Geral,Diária,Registo Definitivo,"Alameda Padre Manuel Simões, 247",4760-286,Vila Nova de Famalicão,Vila Nova de Famalicão,Braga,"Editave Multimédia, Lda",José Ricardo dos Santos Barbosa,,,"Editave Multimédia, Lda.",Vila Nova de Famalicão,Braga,,admin@editave.pt,www.opiniaopublica.pt
115700,07-08-1991,Voz de Gondar,Papel,Regional,Doutrinária,Mensal,Registo Definitivo,Residência Paroquial - Rua do Calvário,4835-547,Gondar,Guimarães,Braga,Fábrica da Igreja Paroquial de São João Baptista de Gondar,João Luís dos Santos Matos,,,Fábrica da Igreja Paroquial de S. João Baptista de Gondar,Guimarães,Braga,,parocogondargmr@gmail.com,
115728,03-09-1991,Trabalho & Segurança Social,Papel/Online,Nacional,Informação Especializada,Bimestral,Registo Definitivo,"R. Gonçalo Cristovão, 14 R/c",4000-263,Porto,Porto,Porto,"Vida Económica - Editorial, S.A.",João Luis Marinho Peixoto de Sousa,,,"Vida Económica - Editorial, SA",Porto,Porto,,mariajoao@vidaeconomica.pt,http://www.vidaeconomica.pt
115734,02-09-1991,Vida Imobiliária,Papel,Nacional,Informação Especializada,Bimestral,Registo Definitivo,"R. Gonçalo Cristovão, 185 - 6º",4000-265,Porto,Porto,Porto,"Imoedições - Edições Periódicas e Multimédia, Unipessoal, Lda",António Manuel Gil Pimentel Felgueiras Machado,,,"Imoedições - Edições Periódicas e Multimédia, Unipessoal, Lda.",Porto,Porto,,gestao@iberinmo.com,www.vidaimobiliária.com
115808,14-10-1991,"Frutas, Legumes e Flores",Papel,Nacional,Informação Especializada,Mensal,Registo Definitivo,"R. da Emenda, 111, 2º Dto.",1200-169,Lisboa,Lisboa,Lisboa,"Publiagro - Publicações Agrícolas, Lda",João Miguel Correia Dias Pereira,,,"Publiagro - Publicações Agrícolas, Lda",Moita,Setúbal,,info@flfrevista.pt,www.flfrevista.pt
116041,22-01-1992,Ecos de Grândola,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"R. Almeida Garrett, n.º 15",7570-177,Grândola,Grândola,Setúbal,António Francisco de Campos Fataca Cadete Saramago,António Francisco de Campos Fataca Cadete Saramago,,,António Francisco de Campos Fataca Cadete Saramago,Oeiras,Lisboa,,antonio.francisco.saramago@gmail.com,
116048,23-01-1992,Ecos de Negrelos,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"Av. da Fábrica de Negrelos, 10",4795-546,São Tomé,Santo Tirso,Porto,"Edinegrelos - Empresa Editora Distribuidora e Publicitária de Negrelos, Lda.",Henrique Cruz Pinheiro Machado,,,"Edinegrelos - Empresa Editora Distribuidora e Publicitária de Negrelos, Lda.",Santo Tirso,Porto,,director@ecosdenegrelos.pt,
116052,27-01-1992,Desportivo de Guimarães,Online,Regional,Informação Especializada,Semanal,Registo Definitivo,"R. Dr. José Sampaio, nº 264",4810-275,Guimarães,Guimarães,Braga,"Guimapress, SA",Abel Luís Jesus de Sousa,Joaquim A. Fernandes,,"Guimapress, SA",Guimarães,Braga,,administracao@guimaraesdigital.com,https://www.guimaraesdigital.pt/index.php/grupo-santiago/desportivo-de-guimaraes/edicao-da-semana
116060,29-01-1992,Anim'Arte,Papel,Nacional,Informação Especializada,Trimestral,Registo Definitivo,"R. João Mendes, 51",3500-142,Viseu,Viseu,Viseu,GICAV - Grupo de Intervenção e Criatividade Artística de Viseu,Manuel Rodrigues Martins,,,GICAV - Grupo de Intervenção e Criatividade Artística de Viseu,Viseu,Viseu,,geral.gicav@gmail.com,
116075,30-01-1992,A Página da Educação,Papel,Nacional,Informação Especializada,Semestral,Registo Definitivo,"R. D. Manuel II, 51 C - 2º - Sala 2.5",4050-345,Porto,Porto,Porto,Rogério Correia Tavares Ribeiro,Maria Manuela Milhais Pinto Mendonça,,,"Profedições, Lda.",Porto,Porto,,redaccao@apagina.pt,
116092,07-02-1992,Jornal das Caldas,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"R. Dr. Leonel Sotto Mayor, 48 - Loja 43/44",2500-227,Caldas da Rainha,Caldas da Rainha,Leiria,"Medioeste, Lda.",Maria Clara Pereira Fernandes Bernardino,,,"Medioeste, Lda.",Caldas da Rainha,Leiria,,medioeste@gmail.com,https://jornaldascaldas.com
116229,30-03-1992,Mensageiro do Menino Jesus de Praga,Papel,Nacional,Doutrinária,Bimestral,Registo Definitivo,Convento de Avessadas (Apartado 141),4630-001,Avessadas,Marco de Canaveses,Porto,"Edições Carmelo - Edição de Publicações, Unipessoal, Lda",João Manuel Teixeira da Costa,,,"Edições Carmelo - Edição de Publicações, Unipessoal, Lda",Marco de Canaveses,Porto,,aleal@carmelitas.pt,www.santuariomeninojesus.org
116302,12-05-1992,Ecos de Boticas,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"Edifício Camionagem, Sala 2, 1.º",5460-307,Boticas,Boticas,Vila Real,"Enredos & Episódios - Televisão e Multimédia, Lda.",Sara Isabel Esteves Martins,,,"Enredos & Episódios - Televisão e Multimédia, Lda.",Chaves,Vila Real,,enredosepisodios@gmail.com,
116311,20-05-1992,Correio de Unhais,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,"Av. 1º de Maio, 64 R/c",6215-517,Unhais da Serra,Covilhã,Castelo Branco,Associação Cultural Estrela de Unhais da Serra - ACEUS,Manuel Jorge dos Santos Lourenço Duarte,José Carlos Lourenço Diamantino,,Associação Cultural Estrela de Unhais da Serra - ACEUS,Covilhã,Castelo Branco,,correiodeunhais@gmail.com,
116514,24-07-1992,TV Mais,Papel,Nacional,Informação Especializada,Semanal,Registo Definitivo,Avenida Jacques Delors  Edifício Inovação 3.1 Espaço nº 511/512 ,2740-122,Porto Salvo,Oeiras,Lisboa,"Trust In News, Unipessoal, Lda.",Sandra Cristina Fornelos Cerqueira,Carlos Maciel,,"Trust In News, Unipessoal, Lda.",Oeiras,Lisboa,,cscampos@trustinnews.pt,
116600,25-08-1992,Jornal de Santa Marinha,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,Largo de S. João (Apartado 148),6270-196,Santa Marinha,Seia,Guarda,Fundação Aurora da Ressurreição Coelho Borges,Eduardo Manuel Cabral Tavares de Carvalho,,,Fundação Aurora da Ressurreição Coelho Borges,Seia,Guarda,,fundacaoauroraborges@sapo.pt,www.jornalsantamarinha.com
116714,03-11-1992,Jovens Agricultores,Papel,Nacional,Informação Especializada,Trimestral,Registo Definitivo,"R. D. Pedro V, 108 - 2º",1269-128,Lisboa,Lisboa,Lisboa,Associação dos Jovens Agricultores de Portugal - AJAP,Henrique Silvestre Ferreira,,,Associação dos Jovens Agricultores de Portugal - AJAP,Lisboa,Lisboa,,ajap@ajap.pt,www.ajap.pt
116759,30-11-1992,Jornal Universitário de Coimbra - A Cabra,Papel/Online,Regional,Informação Especializada,6 x ano,Registo Definitivo,"Rua Padre António Vieira, SN - Secção de Jornalismo",3000-315,Coimbra,Coimbra,Coimbra,Associação Académica de Coimbra - Secção de Jornalismo,Sofia Ladeia Frota Moreira,,,Associação Académica de Coimbra,Coimbra,Coimbra,,acabra@gmail.com,http://acabra.pt
116928,18-02-1993,A Voz do Heitorzinho,Papel,Nacional,Doutrinária,Bimestral,Registo Definitivo,"Rua dos Loureiros, n.º 122",5050-314,Torre,Peso da Régua,Vila Real,Centro Social e Paroquial de S. Pedro de Loureiro,José Lopes de Sousa,,Ana Isabel Rodrigues da Silva,Centro Social e Paroquial de S. Pedro de Loureiro,Peso da Régua,Vila Real,,heitorzinho.jornal@gmail.com,
116942,03-03-1993,Região de Cister,Papel/Online,Regional,Informação Geral,Semanal,Registo Definitivo,"R. Frei António Brandão, 119",2460-047,Alcobaça,Alcobaça,Leiria,"Palavras Necessárias, Lda.",Ana Luísa Borges Ferraz Gonçalves Pereira,,,"Palavras Necessárias, Lda.",Alcobaça,Leiria,,geral@regiaodecister.pt,https://regiaodecister.pt/
116964,03-03-1993,Qualidade,Papel,Nacional,Informação Especializada,Trimestral,Registo Definitivo,"R. Carlos Alves, 3, R/c Dto. e 1º Dto.",1600-515,Lisboa,Lisboa,Lisboa,Associação Portuguesa para a Qualidade,André Mendes de Carvalho,,,Associaçao Portuguesa para a Qualidade,Lisboa,Lisboa,,geral@apq.pt,www.apq.pt
117075,31-03-1993,Industria e Ambiente - Revista de Informação Tecnica e Cientifica,Papel,Nacional,Informação Especializada,Bimestral,Registo Definitivo,"Av. da República, 2475, Sala 64",4430-208,Vila Nova de Gaia,Vila Nova de Gaia,Porto,"Engenho e Média, Lda",Leonor Miranda Monteiro do Amaral,,,"Publindústria - Produção de Comunicação, Lda",Porto,Porto,,antonio.malheiro@publindustria.pt,www.publindustria.pt
117122,22-04-1993,Abolsamia,Papel/Online,Nacional,Informação Especializada,Bimestral,Registo Definitivo,"R. Nelson Pereira Neves, Lj. 1",2670-338,Loures,Loures,Lisboa,Nuno Gonçalo L. Botelho Gusmão,Ana Catarina Crossley Pellen Botelho de Gusmão,,,"Abolsamia - Edição e Comunicação, Lda",Loures,Lisboa,,catarinagusmao@abolsamia.pt,www.abolsamia.pt
117124,22-04-1993,Gazeta de Vendas Novas,Papel,Regional,Informação Geral,Mensal,Registo Definitivo,R. Nossa Senhora de Fátima 12 A,7080-027,Vendas Novas,Vendas Novas,Évora,"Empresa Jornalística de Vendas Novas, Lda",Artur Aleixo Pais,,,"Empresa Jornalistica de Vendas Novas, Lda.",Vendas Novas,Évora,,caavaz@gmail.com,
117250,28-05-1993,O Comércio de Baião,Papel/Online,Regional,Informação Geral,Quinzenal,Registo Definitivo,"R. Comandante Agatão Lança, 12 - Loja 3",4640-142,Baião,Baião,Porto,"Baiarte - Publicações e Artes Gráficas, Ldª",José Arlindo de Azevedo,Filipe Daniel Pinto da Costa,,"Baiarte - Publicacoes e Artes Graficas, Lda.",Baião,Porto,,geral@jornalbaiao.pt,www.ocomerciodebaiao.pt
117255,28-05-1993,Diário de Aveiro,Papel/Online,Regional,Informação Geral,Diária,Registo Definitivo,"Av. Dr. Lourenço Peixinho, 15 - 5º A",3800-164,Aveiro,Aveiro,Aveiro,"Diário de Aveiro, Lda",Adriano Callé Cunha Lucas,João Luís Campos,,"Adriano Lucas, Lda.",Coimbra,Coimbra,,diarioaveiro@diarioaveiro.pt,www.diarioaveiro.pt
117272,18-06-1993,Enoteca,Papel/Online,Nacional,Informação Especializada,Trimestral,Registo Definitivo,"R. Alves Redol, 243/249",4050-043,Porto,Porto,Porto,José Barroso Nascimento Serôdio,José Barroso Nascimento Serôdio,,,José Barroso Nascimento Serôdio,Porto,Porto,,enoteca@enoteca.pt,www.enoteca.pt
117441,05-08-1993,Via Rápida,Papel/Online,Regional,Informação Geral,Quinzenal,Registo Definitivo,"R. D. Francisco Alexandre Lobo, 55 - 3º Dto.",3500-071,Viseu,Viseu,Viseu,José Correia Cardoso,Teresa Cardoso,,,José Correia Cardoso,Viseu,Viseu,,geral@jornalviarapida.com,www.jornalviarapida.com
117447,05-08-1993,Saúde e Bem-Estar,Papel/Online,Nacional,Informação Especializada,Mensal,Registo Definitivo,"Rua Salgueiro Maia, 2, Bloco 5, 2.º Esq.",2685-374,Prior Velho,Loures,Lisboa,"Lazeres & Prazeres, Investimentos, Unipessoal, Lda.",Francisco Filipe Morgado Duarte,,,Ana Catarina de Sousa Pereira Madureira,Oeiras,Lisboa,,carlossilvaramos51@gmail.com,http://www.saudebemestar.com.pt
117468,19-08-1993,Diário de Leiria,Papel/Online,Regional,Informação Geral,Diária,Registo Definitivo,"R. Anzebino da Cruz Saraiva, 318, 1º G",2415-371,Leiria,Leiria,Leiria,"Diário de Leiria, Lda",Adriano Callé da Cunha Lucas,"Miguel Callé Lucas, João Luís Campos",,"Adriano Lucas, Lda.",Coimbra,Coimbra,,diarioleiria@diarioleiria.pt,www.diarioleiria.pt
117614,01-10-1993,Ambiente Magazine,Papel/Online,Nacional,Informação Especializada,Bimestral,Registo Definitivo,"Av. Infante Santo, 69, 4º C",1350-177,Lisboa,Lisboa,Lisboa,Pedro António Elias Chenrim,Pedro António Elias Chenrim,,,Teresa de Jesus Fernandes Elias,Lisboa,Lisboa,,teresa.ambitur@gmail.com,www.ambientemagazine.com
117787,17-01-1994,Actualidad€ Economia Ibérica,Papel/Online,Nacional,Informação Especializada,Anual,Registo Definitivo,"Av. Marquês de Tomar, 2 - 7.º Piso",1050-155,Lisboa,Lisboa,Lisboa,Câmara de Comércio e Indústria Luso Espanhola,Belén Rodrigo González,,,Câmara de Comercio e Industria Luso-Espanhola,Lisboa,Lisboa,,ccile@ccile.org,http://www.camaralusoespanhola.pt
117815,26-01-1994,Notícias de Castelo de Vide,Online,Regional,Informação Geral,Diária,Registo Definitivo,"R. Sequeira Sameiro S/n, Edificio das Casas Amarelas",7320-138,Castelo de Vide,Castelo de Vide,Portalegre,Grupo de Amigos de Castelo de Vide,Alexandre Óscar D. Carvalho Cordeiro,,,Grupo de Amigos de Castelo de Vide,Castelo de Vide,Portalegre,,ncvide@gmail.com,https://www.noticiasdecastelodevide.blogspot.com
117830,26-01-1994,Envolvente Empresarial,Online,Nacional,Informação Especializada,Trimestral,Registo Suspenso,Praça das Indústrias,1300-307,Lisboa,Lisboa,Lisboa,CIP - Confederação Emprasarial de Portugal,João António Morais da Costa Pinto,,,CIP - Confederação Empresarial de Portugal,Lisboa,Lisboa,,geral@cip.org.pt,https://cip.org.pt/assuntos-economicos/
117866,21-02-1994,GE-Portuguese Journal of Gastroenterology,Online,Nacional,Informação Especializada,Bimestral,Registo Definitivo,"R. Abranches Ferrão, 10 - 14º",1600-001,Lisboa,Lisboa,Lisboa,Diogo Libânio,Pedro Narra Figueiredo,,,Sociedade Portuguesa de Gastrenterologia,Lisboa,Lisboa,,andreia.neto@spg.pt,www.spg.pt
118027,07-04-1994,Revista da Ordem dos Farmacêuticos,Papel/Online,Nacional,Informação Especializada,Anual,Registo Definitivo,"R .da Sociedade Farmacêutica, 18",1169-075,Lisboa,Lisboa,Lisboa,Ordem dos Farmacêuticos,Helder Mota Filipe,,,Ordem dos Farmacêuticos,Lisboa,Lisboa,,direccao.nacional@ordemfarmaceuticos.pt,www.ordemfarmaceuticos.pt
118166,16-05-1994,Anteprojectos,Papel/Online,Nacional,Informação Especializada,Mensal,Registo Definitivo,"Av. Álvares Cabral 61, 6.º andar",1250-017,Lisboa,Lisboa,Lisboa,"Áreassociativa - Comunicação e Serviços, Lda",Ângela Maria Dias de Almeida Correia Leitão,,,"Work Media - Comunicação, SA",Lisboa,Lisboa,,hcfino@workmedia.pt,www.anteprojectos.com.pt
118199,27-05-1994,Folha do Centro.pt,Papel/Online,Regional,Informação Geral,Mensal,Registo Definitivo,"R. José Cardoso Pires, 2",3400-077,Oliveira do Hospital,Oliveira do Hospital,Coimbra,"Olitexto - Sociedade Editora e Audiovisuais, Lda.",Ana Margarida Narciso Prata,,,"Olitexto - Sociedade Editora e Audiovisuais, Lda.",Oliveira do Hospital,Coimbra,,jornalfolhadocentro@gmail.com,www.folhadocentro.pt
118232,27-05-1994,O Voleibol,Online,Nacional,Informação Especializada,Semestral,Registo Definitivo,"Av. da França, 549",4050-279,Porto,Porto,Porto,Jorge Castro,Vicente Henrique Gonçalves de Araújo,,,Federação Portuguesa de Voleibol,Porto,Porto,,fpvoleibol@fpvoleibol.pt,www.fpvoleibol.pt
118294,28-06-1994,Jornal Torrejano,Papel,Regional,Informação Geral,Quinzenal,Registo Definitivo,"Largo do Lamego, 86 - 1º (Apartado 113)",2350-410,Torres Novas,Torres Novas,Santarém,"Cooperativa Editora Jornal Torrejano, C.R.L.",Maria Inês Lima Rosa dos Santos Vidal,João Carlos Correia Lopes,,"Cooperativa Editora Jornal Torrejano, C.R.L.",Torres Novas,Santarém,,jornal@jornaltorrejano.pt,https://www.jornaltorrejano.pt
118413,24-08-1994,Imediato,Papel/Online,Regional,Informação Geral,Bimensal,Registo Definitivo,"R. Mosteiro de Ferreira, Edif. Alameda do Mosteiro, 52 - Lj. 2",4590-504,Paços de Ferreira,Paços de Ferreira,Porto,"O Progresso - Edições e Publicidade, Lda",Paulo Jorge Leal Gonçalves,,,"O Progresso - Edições e Publicidade, Lda.",Paços de Ferreira,Porto,,imediato@imediato.pt,www.imediato.pt
118417,24-08-1994,Entdecken Sie Algarve,Papel/Online,Regional,Informação Especializada,Mensal,Registo Definitivo,"Rua Dr. Afonso Costa, 27, r/c, Loja C",8400-317,Lagoa,Lagoa (Algarve),Faro,"Editurismo - Edições para o Turismo, Lda.",Andrea Maria Christ,,,"Editurismo - Edições para o Turismo, Lda.",Lagoa (Algarve),Faro,,editur@editurismo.com,www.entdecken-sie-algarve.com
118462,27-09-1994,Volta ao Mundo,Papel,Nacional,Informação Especializada,Mensal,Registo Definitivo,"Rua Monte dos Burgos, 470, 1º",4250-311,Porto,Porto,Porto,"Notícias Ilimitadas, S.A.",Pedro Ivo Carvalho,,,"Notícias Ilimitadas, S.A.",Maia,Porto,,carla.ferreirinha@noticiasilimitadas.pt,
